Object,AUROC-I,AP-I,f1_max-I,AUROC-P,AP-P,f1_max-P,PRO-P
capsule,85.7,95.9,90.5,94.9,28.1,39.2,81.1
bottle,97.8,99.1,97.0,96.0,75.9,69.9,85.4
carpet,93.0,97.6,91.7,98.2,76.8,70.1,89.2
leather,100,100,100,99.6,76.1,69.5,98.0
pill,97.8,99.5,96.4,99.5,89.4,80.5,96.3
transistor,96.7,94.2,89.4,87.4,52.5,54.9,84.2
tile,100,100,100,98.9,93.7,86.0,96.6
cable,96.5,96.8,89.6,93.5,66.9,63.6,84.2
zipper,99.8,99.9,98.9,97.6,70.3,65.5,94.1
toothbrush,100,100.0,100,86.3,47.6,52.6,72.1
metal_nut,99.0,99.8,99.3,99.3,95.9,88.9,91.6
hazelnut,98.9,99.4,98.1,98.9,76.9,75.2,90.9
screw,88.4,95.4,88.2,93.4,7.8,13.9,81.4
grid,97.8,99.1,98.6,95.0,37.6,45.8,90.3
wood,98.3,99.3,97.5,96.7,77.3,70.0,86.0
