Object,AUROC-I,AP-I,f1_max-I,AUROC-P,AP-P,f1_max-P,PRO-P
capsule,95.7,98.7,95.3,98.4,44.0,46.6,88.9
bottle,100,100.0,100,99.4,92.3,84.7,94.2
carpet,84.0,91.9,89.9,95.4,53.0,51.0,75.6
leather,99.9,100.0,99.2,99.8,81.1,73.2,98.0
pill,96.7,99.2,95.8,99.8,96.7,90.9,96.5
transistor,100,100.0,100,99.5,93.6,86.3,94.4
tile,100,100,100,99.5,95.0,87.3,96.6
cable,99.9,99.9,98.4,98.9,84.8,76.4,94.5
zipper,100,100,100,99.5,87.7,79.7,96.7
toothbrush,100,100,100,99.4,70.7,70.1,94.3
metal_nut,100,100,100,99.7,98.7,94.1,95.4
hazelnut,100,100,100,99.7,95.3,89.0,96.1
screw,97.4,98.7,94.7,91.6,48.4,50.5,80.7
grid,99.3,99.6,97.5,97.8,33.7,38.4,94.0
wood,98.6,99.4,96.4,97.8,78.8,71.2,93.2
