Object,AUROC-I,AP-I,f1_max-I,AUROC-P,AP-P,f1_max-P,PRO-P
capsule,93.2,97.8,94.2,93.2,42.3,44.5,92.4
bottle,98.7,99.4,96.6,97.4,83.6,77.3,90.0
carpet,90.4,96.2,87.9,88.3,58.5,58.9,75.9
leather,100,100.0,100,98.9,74.7,70.0,97.8
pill,93.3,98.1,93.5,98.5,87.4,80.7,83.8
transistor,95.8,95.3,92.3,82.4,50.3,50.4,75.0
tile,100,100,100,96.1,85.5,78.4,93.1
cable,80.7,84.4,77.2,86.7,24.5,28.3,72.4
zipper,99.7,99.9,98.8,96.9,78.7,75.8,89.5
toothbrush,98.8,99.3,97.4,96.3,63.1,62.1,76.9
metal_nut,99.6,99.9,98.4,98.8,96.0,90.8,91.0
hazelnut,99.4,99.5,99.0,94.3,74.1,69.1,92.9
screw,97.2,98.6,94.0,89.5,42.4,48.1,74.5
grid,97.9,99.0,96.1,82.9,17.4,26.3,71.7
wood,99.0,99.5,98.8,89.0,67.5,66.2,79.6
