anomaly,IS↑,FID64↓,ICLPIPS↓,KID↓,EMD↓,KL↓,JS↓
pill_crack,1.274081,0.293985,0.226316,0.099797,0.031929,0.421093,0.099368
pill_color,1.272857,0.362472,0.216915,0.092075,0.090559,0.33998,0.103131
pill_scratch,1.331678,0.344994,0.224803,0.093409,0.210367,0.460177,0.080372
pill_contamination,1.260189,0.294949,0.228688,0.090751,0.011303,0.593653,0.117588
pill_pill_type,1.389408,1.633458,0.260309,0.204693,1.15948,1.106823,0.166768
pill_faulty_imprint,1.347746,0.293046,0.229647,0.131778,0.275225,0.750558,0.210119
pill_combined,1.350572,0.512979,0.241443,0.10139,0.56894,0.562647,0.121646
screw_scratch_head,1.160913,0.603692,0.307205,0.01208,0.403058,0.079429,0.006299
screw_thread_top,1.170096,0.570703,0.318105,0.013903,0.000352,0.032954,0.002662
screw_manipulated_front,1.148809,0.494144,0.301811,0.016324,0.017563,0.011378,0.003943
screw_thread_side,1.134943,0.552831,0.323702,0.020253,0.003358,0.018868,0.001874
screw_scratch_neck,1.148702,0.535542,0.300675,0.023269,0.00412,0.023368,0.001199
capsule_crack,1.189986,0.72231,0.17273,0.05532,0.024838,0.615792,0.220077
capsule_scratch,1.197686,0.679675,0.168735,0.055221,0.029538,0.525596,0.120561
capsule_squeeze,1.51052,0.525738,0.197528,0.055368,0.674542,0.812513,0.103097
capsule_faulty_imprint,1.220896,0.587672,0.169172,0.058242,0.137775,0.933877,0.116672
capsule_poke,1.16668,0.64857,0.17735,0.058358,0.038058,1.01254,0.188997
hazelnut_crack,1.876858,0.323837,0.319134,0.054125,0.136851,0.465522,0.120481
hazelnut_hole,1.58289,0.378448,0.297442,0.08623,0.093249,0.60035,0.135214
hazelnut_cut,1.503103,0.344845,0.295731,0.014765,1.096064,0.531704,0.068399
hazelnut_print,1.665967,0.291728,0.291369,0.042773,0.091161,0.559432,0.124651
leather_glue,1.332395,5.71872,0.355767,0.270208,0.208179,0.496614,0.138305
leather_color,1.298339,9.83305,0.351064,0.280827,0.532806,0.316035,0.068932
leather_cut,1.433848,4.820879,0.350047,0.156608,0.209135,0.309795,0.064914
leather_poke,1.272683,7.64271,0.348416,0.191123,0.639459,0.555471,0.118026
leather_fold,1.454936,8.179628,0.376543,0.185874,0.311288,0.479087,0.096014
cable_bent_wire,1.847525,0.34496,0.408707,0.134477,0.1086,0.524137,0.117591
cable_cut_outer_insulation,1.725217,0.753786,0.376189,0.118248,0.640203,0.491859,0.080448
cable_missing_wire,1.618484,0.459852,0.392724,0.106668,0.47674,0.500868,0.162164
cable_combined,1.779556,1.001025,0.400693,0.109039,0.165907,0.524397,0.125009
cable_missing_cable,1.846051,1.681677,0.394536,0.199816,0.604855,1.047856,0.200464
cable_poke_insulation,1.665021,0.388279,0.399193,0.111283,0.467625,0.36538,0.086065
cable_cable_swap,1.877399,0.371293,0.378635,0.12669,0.277154,0.408817,0.073791
cable_cut_inner_insulation,1.717809,0.407943,0.386527,0.144926,0.209208,0.464778,0.090542
transistor_bent_lead,1.370458,0.176696,0.318449,0.094491,0.051375,0.212771,0.066497
transistor_misplaced,1.481627,1.837591,0.382617,0.19114,0.279295,1.108533,0.212497
transistor_cut_lead,1.360754,0.201733,0.300124,0.104273,0.122961,0.449986,0.059983
transistor_damaged_case,1.308859,0.203329,0.315595,0.167534,0.150845,0.56677,0.114066
zipper_fabric_interior,1.300231,0.775834,0.216886,0.040441,0.006983,0.238474,0.068312
zipper_rough,1.256154,0.756665,0.207896,0.020954,0.048251,0.287454,0.023797
zipper_split_teeth,1.256533,0.67761,0.210702,0.056047,0.017787,1.307481,0.314102
zipper_squeezed_teeth,1.234458,0.821282,0.202144,0.060444,0.015981,1.014194,0.119753
